sp_id;correct_name;family;genus;taxon_rank;habit;wood_dens_gcm3;max_height_m;seed_size_g;disp_mode;eco_group;obs
Annona coriacea;Annona coriacea;Annonaceae;Annona;species;tree;0.505;10;0.689655172;zoochoric;2;
Annona emarginata;Annona emarginata;Annonaceae;Annona;species;tree;0.465666667;20;0.313120022;zoochoric;2;
Annona sp.;Annona sp.;Annonaceae;Annona;NA;NA;NA;NA;NA;zoochoric;NA;
Annona sp.1;Annona sp.;Annonaceae;Annona;NA;NA;NA;NA;NA;zoochoric;NA;
Annona sp.2;Annona sp.;Annonaceae;Annona;NA;NA;NA;NA;NA;zoochoric;NA;
Annonaceae sp.;Annonaceae sp.;Annonaceae;Annonaceae;NA;NA;NA;NA;NA;zoochoric;NA;
Annonaceae sp.1;Annonaceae sp.;Annonaceae;Annonaceae;NA;NA;NA;NA;NA;zoochoric;NA;
Anthurium scandens;Anthurium scandens;Araceae;Anthurium;species;NA;NA;NA;0.006864516;zoochoric;NA;
Anthurium sp.;Anthurium sp.;Araceae;Anthurium;NA;NA;NA;NA;NA;zoochoric;NA;
Anthurium sp.1;Anthurium sp.;Araceae;Anthurium;NA;NA;NA;NA;NA;zoochoric;NA;
Aparisthmium cordatum;Aparisthmium cordatum;Euphorbiaceae;Aparisthmium;species;tree;0.477;21;0.04005;zoochoric;1;
Apeiba tibourbou;Apeiba tibourbou;Malvaceae;Apeiba;species;tree;0.27475;22;0.007082377;autochoric;1;
Apocynaceae sp.;Apocynaceae sp.;Apocynaceae;Apocynaceae;NA;NA;NA;NA;NA;NA;NA;
Apocynaceae sp.1;Apocynaceae sp.;Apocynaceae;Apocynaceae;NA;NA;NA;NA;NA;NA;NA;
Apocynaceae sp.2;Apocynaceae sp.;Apocynaceae;Apocynaceae;NA;NA;NA;NA;NA;NA;NA;
Apocynaceae sp.3;Apocynaceae sp.;Apocynaceae;Apocynaceae;NA;NA;NA;NA;NA;NA;NA;
Apuleia leiocarpa;Apuleia leiocarpa;Fabaceae;Apuleia;species;tree;0.784444444;28;0.05978637;anemochoric;2;
Araucaria angustifolia;Araucaria angustifolia;Araucariaceae;Araucaria;species;tree;0.503;43;6.596948357;zoochoric;2;
Archontophoenix cunninghamiana;Archontophoenix cunninghamiana;Arecaceae;Archontophoenix;genus;tree;0.431993485;NA;0.7841;zoochoric;NA;
Ardisia martiana;Stylogyne lhotzkyana;Primulaceae;Stylogyne;species;tree;0.519480602;21;0.072;zoochoric;4;
Ardisia sp.;Ardisia sp.;Primulaceae;Ardisia;NA;NA;NA;NA;NA;zoochoric;NA;
Ardisia sp.1;Ardisia sp.;Primulaceae;Ardisia;NA;NA;NA;NA;NA;zoochoric;NA;
Arecaceae sp.;Arecaceae sp.;Arecaceae;Arecaceae;NA;NA;NA;NA;NA;zoochoric;NA;
Arecaceae sp.1;Arecaceae sp.;Arecaceae;Arecaceae;NA;NA;NA;NA;NA;zoochoric;NA;
Artocarpus heterophyllus;Artocarpus heterophyllus;Moraceae;Artocarpus;species;tree;0.53;NA;8.503;zoochoric;2;
Aspidosperma parvifolium;Aspidosperma parvifolium;Apocynaceae;Aspidosperma;species;tree;0.7214;29;0.181609195;anemochoric;3;
Aspidosperma sp.;Aspidosperma sp.;Apocynaceae;Aspidosperma;NA;NA;NA;NA;NA;anemochoric;NA;
Aspidosperma sp.1;Aspidosperma sp.;Apocynaceae;Aspidosperma;NA;NA;NA;NA;NA;anemochoric;NA;
Aspidosperma spruceanum;Aspidosperma spruceanum;Apocynaceae;Aspidosperma;species;tree;0.7651;25;0.438289162;anemochoric;2;
Aspidosperma thomasii;Aspidosperma thomasii;Apocynaceae;Aspidosperma;species;tree;0.745734426;25;0.298612597;anemochoric;NA;
Asplundia sp.;Asplundia sp.;Cyclanthaceae;Asplundia;NA;NA;NA;NA;NA;zoochoric;NA;
Asplundia sp.1;Asplundia sp.;Cyclanthaceae;Asplundia;NA;NA;NA;NA;NA;zoochoric;NA;
Asteraceae sp.;Asteraceae sp.;Asteraceae;Asteraceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;rarely zoochoric
Asteraceae sp.1;Asteraceae sp.;Asteraceae;Asteraceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;rarely zoochoric
Asteraceae sp.2;Asteraceae sp.;Asteraceae;Asteraceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;rarely zoochoric
Asteraceae sp.3;Asteraceae sp.;Asteraceae;Asteraceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;rarely zoochoric
Asteraceae sp.4;Asteraceae sp.;Asteraceae;Asteraceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;rarely zoochoric
Asteraceae sp.5;Asteraceae sp.;Asteraceae;Asteraceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;rarely zoochoric
Asteraceae sp.6;Asteraceae sp.;Asteraceae;Asteraceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;rarely zoochoric
Asteraceae sp.7;Asteraceae sp.;Asteraceae;Asteraceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;rarely zoochoric
Asteraceae sp.8;Asteraceae sp.;Asteraceae;Asteraceae;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;rarely zoochoric
Astronium balansae;Astronium balansae;Anacardiaceae;Astronium;species;tree;0.815755102;NA;0.052977704;anemochoric;2;
Astronium fraxinifolium;Astronium fraxinifolium;Anacardiaceae;Astronium;species;tree;0.778375;20;0.065971759;anemochoric;2;
Astronium graveolens;Astronium graveolens;Anacardiaceae;Astronium;species;tree;0.841571429;30;0.029502007;anemochoric;2;
Astronium sp.;Astronium sp.;Anacardiaceae;Astronium;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Astronium sp.1;Astronium sp.;Anacardiaceae;Astronium;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Ateleia glazioveana;Ateleia glazioveana;Fabaceae;Ateleia;species;tree;0.54;23;0.042529072;anemochoric;1;
Axonopus scoparius;Axonopus scoparius;Poaceae;Axonopus;species;NA;NA;NA;0.000419867;anemochoric|autochoric;NA;
Baccharis calvescens;Baccharis calvescens;Asteraceae;Baccharis;species;tree;0.482333333;6;0.000170267;anemochoric;2;
Baccharis sp.;Baccharis sp.;Asteraceae;Baccharis;NA;NA;NA;NA;NA;anemochoric;NA;
Baccharis sp.1;Baccharis sp.;Asteraceae;Baccharis;NA;NA;NA;NA;NA;anemochoric;NA;
Baccharis sp.2;Baccharis sp.;Asteraceae;Baccharis;NA;NA;NA;NA;NA;anemochoric;NA;
Bactris setosa;Bactris setosa;Arecaceae;Bactris;species;tree;1.1;8;1.65;zoochoric;3;
Balfourodendron riedelianum;Balfourodendron riedelianum;Rutaceae;Balfourodendron;species;tree;0.687857143;33;0.454081633;anemochoric;2;
Banara brasiliensis;Banara brasiliensis;Salicaceae;Banara;species;tree;0.75;8;0.005;zoochoric;2;
Banisteriopsis sp.;Banisteriopsis sp.;Malpighiaceae;Banisteriopsis;NA;NA;NA;NA;NA;anemochoric;NA;
Banisteriopsis sp.1;Banisteriopsis sp.;Malpighiaceae;Banisteriopsis;NA;NA;NA;NA;NA;anemochoric;NA;
Banisteriopsis stellaris;Banisteriopsis stellaris;Malpighiaceae;Banisteriopsis;species;others;0.744;NA;0.032575;anemochoric;NA;
Barnebydendron riedelii;Barnebydendron riedelii;Fabaceae;Barnebydendron;species;tree;0.85;43;0.625;anemochoric;3;
Basiloxylon brasiliensis;Pterygota brasiliensis;Malvaceae;Pterygota;species;tree;0.4414;30;0.828282828;anemochoric;2;
