sp_id;correct_name;family;genus;taxon_rank;habit;wood_dens_gcm3;max_height_m;seed_size_g;disp_mode;eco_group;obs
Eugenia fusca;Eugenia fusca;Myrtaceae;Eugenia;species;tree;0.87;21;2.059389752;zoochoric;NA;
Eugenia involucrata;Eugenia involucrata;Myrtaceae;Eugenia;species;tree;0.727714286;18;0.249572955;zoochoric;3;
Eugenia magnifica;Eugenia magnifica;Myrtaceae;Eugenia;species;tree;0.743045709;12;2.059389752;zoochoric;NA;
Eugenia melanogyna;Eugenia melanogyna;Myrtaceae;Eugenia;species;tree;0.743045709;19;7;zoochoric;3;
Eugenia multicostata;Eugenia multicostata;Myrtaceae;Eugenia;species;tree;0.92;30;2.416666667;zoochoric;4;
Eugenia prasina;Eugenia prasina;Myrtaceae;Eugenia;species;tree;0.648016724;13;3.5;zoochoric;3;
Eugenia ramboi;Eugenia ramboi;Myrtaceae;Eugenia;species;tree;0.6;20;0.192307692;zoochoric;3;
Eugenia repanda;Eugenia repanda;Myrtaceae;Eugenia;species;tree;0.6;10;0.15625;zoochoric;3;
Eugenia sp.;Eugenia sp.;Myrtaceae;Eugenia;NA;NA;NA;NA;NA;zoochoric;NA;
Eugenia sp.1;Eugenia sp.;Myrtaceae;Eugenia;NA;NA;NA;NA;NA;zoochoric;NA;
Eugenia sp.2;Eugenia sp.;Myrtaceae;Eugenia;NA;NA;NA;NA;NA;zoochoric;NA;
Eugenia sp.3;Eugenia sp.;Myrtaceae;Eugenia;NA;NA;NA;NA;NA;zoochoric;NA;
Eugenia sp.4;Eugenia sp.;Myrtaceae;Eugenia;NA;NA;NA;NA;NA;zoochoric;NA;
Eugenia sp.5;Eugenia sp.;Myrtaceae;Eugenia;NA;NA;NA;NA;NA;zoochoric;NA;
Eugenia sp.6;Eugenia sp.;Myrtaceae;Eugenia;NA;NA;NA;NA;NA;zoochoric;NA;
Eugenia sp.7;Eugenia sp.;Myrtaceae;Eugenia;NA;NA;NA;NA;NA;zoochoric;NA;
Eugenia sp.8;Eugenia sp.;Myrtaceae;Eugenia;NA;NA;NA;NA;NA;zoochoric;NA;
Eugenia sp.9;Eugenia sp.;Myrtaceae;Eugenia;NA;NA;NA;NA;NA;zoochoric;NA;
Eugenia subterminalis;Eugenia subterminalis;Myrtaceae;Eugenia;species;tree;0.743045709;16;2.059389752;zoochoric;3;
Eugenia sulcata;Eugenia sulcata;Myrtaceae;Eugenia;species;tree;1.02;18;0.243902439;zoochoric;3;
Eugenia supraaxillaris;Eugenia supraaxillaris;Myrtaceae;Eugenia;species;tree;0.75;25;8.07945;zoochoric;3;
Eugenia uniflora;Eugenia uniflora;Myrtaceae;Eugenia;species;tree;0.7874;12;0.303721395;zoochoric;2;
Eugenia uruguayensis;Eugenia uruguayensis;Myrtaceae;Eugenia;species;tree;0.743045709;17;0.19;zoochoric;3;
Eugenia verticillata;Eugenia verticillata;Myrtaceae;Eugenia;species;tree;1.19;12;0.606382979;zoochoric;3;
Eumachia cephalantha;Eumachia cephalantha;Rubiaceae;Eumachia;species;shrub;0.641918268;12;NA;zoochoric;4;
Eupatorium sp.;Eupatorium sp.;Asteraceae;Eupatorium;NA;NA;NA;NA;NA;anemochoric;NA;
Eupatorium sp.1;Eupatorium sp.;Asteraceae;Eupatorium;NA;NA;NA;NA;NA;anemochoric;NA;
Eupatorium sp.2;Eupatorium sp.;Asteraceae;Eupatorium;NA;NA;NA;NA;NA;anemochoric;NA;
Euphorbiaceae sp.;Euphorbiaceae sp.;Euphorbiaceae;Euphorbiaceae;NA;NA;NA;NA;NA;NA;NA;
Euphorbiaceae sp.1;Euphorbiaceae sp.;Euphorbiaceae;Euphorbiaceae;NA;NA;NA;NA;NA;NA;NA;
Euphorbiaceae sp.2;Euphorbiaceae sp.;Euphorbiaceae;Euphorbiaceae;NA;NA;NA;NA;NA;NA;NA;
Euphorbiaceae sp.3;Euphorbiaceae sp.;Euphorbiaceae;Euphorbiaceae;NA;NA;NA;NA;NA;NA;NA;
Euphorbiaceae sp.5;Euphorbiaceae sp.;Euphorbiaceae;Euphorbiaceae;NA;NA;NA;NA;NA;NA;NA;
Euterpe edulis;Euterpe edulis;Arecaceae;Euterpe;species;tree;0.397166667;22;1.098467676;zoochoric;3;
Euterpe oleracea;Euterpe oleracea;Arecaceae;Euterpe;species;tree;0.394;20;0.927056397;zoochoric;NA;
Euterpe sp.;Euterpe sp.;Arecaceae;Euterpe;NA;NA;NA;NA;NA;zoochoric;NA;
Euterpe sp.1;Euterpe sp.;Arecaceae;Euterpe;NA;NA;NA;NA;NA;zoochoric;NA;
Evodianthus funifer;Evodianthus funifer;Cyclanthaceae;Evodianthus;species;NA;NA;NA;NA;zoochoric;NA;
Fabaceae sp.;Fabaceae sp.;Fabaceae;Fabaceae;NA;NA;NA;NA;NA;NA;NA;
Fabaceae sp.1;Fabaceae sp.;Fabaceae;Fabaceae;NA;NA;NA;NA;NA;NA;NA;
Fabaceae sp.10;Fabaceae sp.;Fabaceae;Fabaceae;NA;NA;NA;NA;NA;NA;NA;
Fabaceae sp.12;Fabaceae sp.;Fabaceae;Fabaceae;NA;NA;NA;NA;NA;NA;NA;
Fabaceae sp.2;Fabaceae sp.;Fabaceae;Fabaceae;NA;NA;NA;NA;NA;NA;NA;
Fabaceae sp.3;Fabaceae sp.;Fabaceae;Fabaceae;NA;NA;NA;NA;NA;NA;NA;
Fabaceae sp.5;Fabaceae sp.;Fabaceae;Fabaceae;NA;NA;NA;NA;NA;NA;NA;
Fabaceae sp.6;Fabaceae sp.;Fabaceae;Fabaceae;NA;NA;NA;NA;NA;NA;NA;
Faramea latifolia;Faramea latifolia;Rubiaceae;Faramea;species;tree;0.523;13;0.3;zoochoric;3;
Faramea picinguabae;Faramea paratiensis;Rubiaceae;Faramea;species;tree;0.708568567;10;0.3;zoochoric;NA;
Faramea sp.;Faramea sp.;Rubiaceae;Faramea;NA;NA;NA;NA;NA;zoochoric;NA;
Faramea sp.1;Faramea sp.;Rubiaceae;Faramea;NA;NA;NA;NA;NA;zoochoric;NA;
Ficus adhatodifolia;Ficus adhatodifolia;Moraceae;Ficus;species;tree;0.323;37;0.00121935;zoochoric;1;
Ficus cestrifolia;Ficus cestrifolia;Moraceae;Ficus;species;tree;0.441078125;29;0.0009;zoochoric;2;
Ficus citrifolia;Ficus citrifolia;Cyclanthaceae;Ficus;genus;tree;0.4;17;0.0006;zoochoric;2;
Ficus elastica;Ficus elastica;Moraceae;Ficus;NA;NA;NA;NA;NA;zoochoric;NA;
Ficus gomelleira;Ficus gomelleira;Moraceae;Ficus;species;tree;0.4335;26;0.00015;zoochoric;2;
Ficus hirsuta;Ficus hirsuta;Moraceae;Ficus;species;tree;0.405;25;0.000496154;zoochoric;2;
Ficus insipida;Ficus insipida;Moraceae;Ficus;species;tree;0.414083333;25;0.000864286;zoochoric;1;
Ficus luschnathiana;Ficus luschnathiana;Moraceae;Ficus;species;tree;0.42;27;0.000208333;zoochoric;2;
Ficus microcarpa;Ficus microcarpa;Moraceae;Ficus;species;tree;0.441078125;NA;0.019668895;zoochoric;NA;
Ficus pertusa;Ficus pertusa;Moraceae;Ficus;species;tree;0.525;17;0.0002;zoochoric;2;
Ficus sp.;Ficus sp.;Moraceae;Ficus;NA;NA;NA;NA;NA;zoochoric;NA;
Ficus sp.1;Ficus sp.;Moraceae;Ficus;NA;NA;NA;NA;NA;zoochoric;NA;
Ficus sp.2;Ficus sp.;Moraceae;Ficus;NA;NA;NA;NA;NA;zoochoric;NA;
Ficus sp.3;Ficus sp.;Moraceae;Ficus;NA;NA;NA;NA;NA;zoochoric;NA;
Forsteronia cordata;Forsteronia cordata;Apocynaceae;Forsteronia;species;NA;0.65970384;NA;NA;anemochoric;NA;
Forsteronia glabrescens;Forsteronia glabrescens;Apocynaceae;Forsteronia;species;NA;0.65970384;NA;NA;anemochoric;NA;
Forsteronia leptocarpa;Forsteronia leptocarpa;Apocynaceae;Forsteronia;species;NA;0.65970384;NA;NA;anemochoric;NA;
Forsteronia pubescens;Forsteronia pubescens;Apocynaceae;Forsteronia;species;NA;0.65970384;NA;NA;anemochoric;NA;
Forsteronia sp.;Forsteronia sp.;Apocynaceae;Forsteronia;NA;NA;NA;NA;NA;anemochoric;NA;
Forsteronia sp.1;Forsteronia sp.;Apocynaceae;Forsteronia;NA;NA;NA;NA;NA;anemochoric;NA;
Frangula sphaerosperma;Frangula sphaerosperma;Moraceae;Frangula;genus;tree;0.597685981;NA;0.0206;zoochoric;2;
Fridericia rego;Fridericia rego;Bignoniaceae;Fridericia;species;others;0.689;5;0.018364;anemochoric;NA;
Fridericia sp.;Fridericia sp.;Bignoniaceae;Fridericia;NA;NA;NA;NA;NA;anemochoric;NA;
Galipea jasminiflora;Galipea jasminiflora;Rutaceae;Galipea;species;tree;0.85;14;0.035714286;autochoric;3;
Galium hypocarpium;Galium hypocarpium;Rubiaceae;Galium;species;NA;0.641918268;NA;0.003;zoochoric;NA;
Gallesia integrifolia;Gallesia integrifolia;Phytolaccaceae;Gallesia;species;tree;0.524571429;30;0.059735457;anemochoric;2;
Garcinia brasiliensis;Garcinia brasiliensis;Clusiaceae;Garcinia;species;tree;0.759069677;12;1.868888889;zoochoric;3;
Gaylussacia brasiliensis;Gaylussacia brasiliensis;Ericaceae;Gaylussacia;species;shrub;0.675;8;0.0016738;zoochoric;NA;
Geonoma elegans;Geonoma elegans;Arecaceae;Geonoma;species;shrub;0.625697674;3;0.397571667;zoochoric;4;
Geonoma pohliana;Geonoma pohliana;Arecaceae;Geonoma;species;shrub;0.625697674;8;0.228998437;zoochoric;NA;
Geonoma schottiana;Geonoma schottiana;Arecaceae;Geonoma;species;shrub;0.625697674;14;1.6;zoochoric;3;
Geonoma sp.;Geonoma sp.;Arecaceae;Geonoma;NA;NA;NA;NA;NA;zoochoric;NA;
Geonoma sp.1;Geonoma sp.;Arecaceae;Geonoma;NA;NA;NA;NA;NA;zoochoric;NA;
Geonoma sp.2;Geonoma sp.;Arecaceae;Geonoma;NA;NA;NA;NA;NA;zoochoric;NA;
Geonoma sp.3;Geonoma sp.;Arecaceae;Geonoma;NA;NA;NA;NA;NA;zoochoric;NA;
Glycydendron amazonicum;Glycydendron amazonicum;Euphorbiaceae;Glycydendron;species;tree;0.6766;33;NA;zoochoric;2;
Gochnatia polymorpha;Moquiniastrum polymorphum;Asteraceae;Moquiniastrum;species;tree;0.726666667;16;0.000389773;anemochoric;1;
Gochnatia sp.;Gochnatia sp.;Asteraceae;Gochnatia;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Gochnatia sp.1;Gochnatia sp.;Asteraceae;Gochnatia;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Gomidesia sp.;Gomidesia sp.;Myrtaceae;Gomidesia;NA;NA;NA;NA;NA;zoochoric;NA;
Gomidesia sp.1;Gomidesia sp.;Myrtaceae;Gomidesia;NA;NA;NA;NA;NA;zoochoric;NA;
Gomidesia sp.2;Gomidesia sp.;Myrtaceae;Gomidesia;NA;NA;NA;NA;NA;zoochoric;NA;
Goniorrhachis marginata;Goniorrhachis marginata;Fabaceae;Goniorrhachis;species;tree;0.838;30;0.909090909;anemochoric;2;
Gordonia fruticosa;Laplacea fruticosa;Theaceae;Laplacea;species;tree;0.553;22;0.003333333;anemochoric;2;
Gouania blanchetiana;Gouania blanchetiana;Rhamnaceae;Gouania;species;NA;0.727540364;NA;0.007802133;anemochoric;NA;
Gouania colurnifolia;Gouania colurnifolia;Rhamnaceae;Gouania;species;NA;0.727540364;NA;0.007802133;anemochoric;NA;
Gouania mollis;Gouania latifolia;Rhamnaceae;Gouania;species;NA;0.727540364;NA;0.007802133;anemochoric;NA;
Gouania sp.;Gouania sp.;Rhamnaceae;Gouania;NA;NA;NA;NA;NA;anemochoric;NA;
Gouania virgata;Gouania virgata;Rhamnaceae;Gouania;species;others;0.727540364;NA;0.007802133;anemochoric;NA;
Guadua tagoara;Guadua tagoara;Poaceae;Guadua;species;others;NA;20;NA;autochoric;1;
Guapira hirsuta;Guapira hirsuta;Nyctaginaceae;Guapira;species;tree;0.481457006;14;0.106777503;zoochoric;2;
Guapira nitida;Guapira nitida;Nyctaginaceae;Guapira;species;tree;0.425;22;0.106777503;zoochoric;2;
Guapira noxia;Guapira noxia;Nyctaginaceae;Guapira;species;tree;0.519;10;0.106777503;zoochoric;2;
Guapira opposita;Guapira opposita;Nyctaginaceae;Guapira;species;tree;0.455774155;20;0.129639429;zoochoric;2;
Guapira sp.;Guapira sp.;Nyctaginaceae;Guapira;NA;NA;NA;NA;NA;zoochoric;NA;
Guapira sp.1;Guapira sp.;Nyctaginaceae;Guapira;NA;NA;NA;NA;NA;zoochoric;NA;
Guarea guidonia;Guarea guidonia;Meliaceae;Guarea;species;tree;0.629035;20;0.351752747;zoochoric;3;
Guarea kunthiana;Guarea kunthiana;Meliaceae;Guarea;species;tree;0.623;20;0.762251656;zoochoric;3;
Guarea macrophylla;Guarea macrophylla;Meliaceae;Guarea;species;tree;0.612391553;18;0.466666667;zoochoric;3;
Guarea sp.;Guarea sp.;Meliaceae;Guarea;NA;NA;NA;NA;NA;zoochoric;NA;
Guarea sp.1;Guarea sp.;Meliaceae;Guarea;NA;NA;NA;NA;NA;zoochoric;NA;
Guatteria australis;Guatteria australis;Annonaceae;Guatteria;species;tree;0.496079236;22;0.25991282;zoochoric;2;
Guatteria pogonopus;Guatteria pogonopus;Annonaceae;Guatteria;species;tree;0.538935847;17;0.882734188;zoochoric;2;
Guatteria schomburgkiana;Guatteria schomburgkiana;Annonaceae;Guatteria;species;tree;0.638;24;0.882734188;zoochoric;3;
Guatteria sp.;Guatteria sp.;Annonaceae;Guatteria;NA;NA;NA;NA;NA;zoochoric;NA;
Guatteria sp.1;Guatteria sp.;Annonaceae;Guatteria;NA;NA;NA;NA;NA;zoochoric;NA;
Guazuma crinita;Guazuma crinita;Malvaceae;Guazuma;species;tree;0.56;20;0.112788165;zoochoric;1;
Guazuma ulmifolia;Guazuma ulmifolia;Malvaceae;Guazuma;species;tree;0.512111111;18;0.01679878;zoochoric;1;
Handroanthus albus;Handroanthus albus;Bignoniaceae;Handroanthus;species;tree;0.875;30;0.011709602;anemochoric;2;
Handroanthus chrysotrichus;Handroanthus chrysotrichus;Bignoniaceae;Handroanthus;species;tree;0.726;18;0.095453389;anemochoric;2;
Handroanthus heptaphyllus;Handroanthus heptaphyllus;Bignoniaceae;Handroanthus;species;tree;0.909230769;26;0.042882463;anemochoric;2;
Handroanthus impetiginosus;Handroanthus impetiginosus;Bignoniaceae;Handroanthus;species;tree;0.846071429;27;0.077412748;anemochoric;3;
Handroanthus ochraceus;Handroanthus ochraceus;Bignoniaceae;Handroanthus;species;tree;0.891538462;14;0.013134058;anemochoric;2;
Handroanthus serratifolius;Handroanthus serratifolius;Bignoniaceae;Handroanthus;species;tree;0.914208333;25;0.054001012;anemochoric;3;
Handroanthus sp.;Handroanthus sp.;Bignoniaceae;Handroanthus;NA;NA;NA;NA;NA;anemochoric;NA;
Handroanthus sp.1;Handroanthus sp.;Bignoniaceae;Handroanthus;NA;NA;NA;NA;NA;anemochoric;NA;
Handroanthus sp.2;Handroanthus sp.;Bignoniaceae;Handroanthus;NA;NA;NA;NA;NA;anemochoric;NA;
Handroanthus vellosoi;Handroanthus vellosoi;Bignoniaceae;Handroanthus;species;tree;0.879;23;0.049401391;anemochoric;2;
Harleyodendron unifoliolatum;Harleyodendron unifoliolatum;Fabaceae;Harleyodendron;species;tree;1.13;16;6.25;zoochoric;3;
Hebanthe eriantha;Hebanthe eriantha;Amaranthaceae;Hebanthe;species;shrub;NA;NA;NA;autochoric;NA;
Hedyosmum brasiliense;Hedyosmum brasiliense;Chloranthaceae;Hedyosmum;species;tree;0.475;13;0.002290138;zoochoric;2;
Heisteria perianthomega;Heisteria perianthomega;Olacaceae;Heisteria;species;tree;0.7165;25;0.295293651;zoochoric;3;
Heisteria silvianii;Heisteria silvianii;Olacaceae;Heisteria;species;tree;0.7625;24;0.432285185;zoochoric;3;
Heisteria sp.;Heisteria sp.;Olacaceae;Heisteria;NA;NA;NA;NA;NA;zoochoric;NA;
Heisteria sp.1;Heisteria sp.;Olacaceae;Heisteria;NA;NA;NA;NA;NA;zoochoric;NA;
Helianthus annuus;Helianthus annuus;Asteraceae;Helianthus;species;NA;0.530140648;NA;0.0393;autochoric|zoochoric;NA;cultivated
Helicostylis tomentosa;Helicostylis tomentosa;Moraceae;Helicostylis;species;tree;0.67875;26;0.209745763;zoochoric;2;
Helietta apiculata;Helietta apiculata;Rutaceae;Helietta;species;tree;0.835;26;0.01976;anemochoric;2;
Heliocarpus americanus;Heliocarpus americanus;Malvaceae;Heliocarpus;species;tree;0.249090909;NA;0.00364908;anemochoric;1;
Henriettea succosa;Henriettea succosa;Melastomataceae;Henriettea;species;tree;0.595;22;0.00009;zoochoric;3;
Herreria glaziovii;Herreria glaziovii;Asparagaceae;Herreria;species;NA;0.41832;NA;0.001714;autochoric;NA;
Heteropterys sp.;Heteropterys sp.;Malpighiaceae;Heteropterys;NA;NA;NA;NA;NA;anemochoric;NA;
Heteropterys sp.1;Heteropterys sp.;Malpighiaceae;Heteropterys;NA;NA;NA;NA;NA;anemochoric;NA;
Heteropterys sp.2;Heteropterys sp.;Malpighiaceae;Heteropterys;NA;NA;NA;NA;NA;anemochoric;NA;
Hieronyma alchorneoides;Hyeronima alchorneoides;Phyllanthaceae;Hyeronima;species;tree;0.591346471;30;0.01219706;zoochoric;2;
Hieronyma oblonga;Hieronyma oblonga;Rutaceae;Hieronyma;genus;tree;0.686797727;NA;NA;zoochoric;NA;
Himatanthus phagedaenicus;Himatanthus phagedaenicus;Apocynaceae;Himatanthus;species;tree;0.69;17;0.033333333;anemochoric;2;
Himatanthus sucuuba;Himatanthus articulatus;Apocynaceae;Himatanthus;species;tree;0.501125;37;0.053132329;anemochoric;NA;
Hippocratea volubilis;Hippocratea volubilis;Celastraceae;Hippocratea;species;others;0.733494284;10;0.0801;anemochoric;NA;
Hiraea fagifolia;Hiraea fagifolia;Malpighiaceae;Hiraea;species;others;0.633954639;NA;NA;anemochoric;NA;
Hirtella racemosa;Hirtella racemosa;Chrysobalanaceae;Hirtella;species;tree;0.777666667;8;0.05;zoochoric;2;
Hirtella sp.;Hirtella sp.;Chrysobalanaceae;Hirtella;NA;NA;NA;NA;NA;zoochoric;NA;
Hirtella sp.1;Hirtella sp.;Chrysobalanaceae;Hirtella;NA;NA;NA;NA;NA;zoochoric;NA;
Holocalyx balansae;Holocalyx balansae;Fabaceae;Holocalyx;species;tree;0.859;23;2.5;zoochoric;3;
Hovenia dulcis;Hovenia dulcis;Rhamnaceae;Hovenia;species;tree;0.5015;35;0.022192307;zoochoric;1;
Humiria sp.;Humiria sp.;Humiriaceae;Humiria;NA;NA;NA;NA;NA;zoochoric;NA;
Humiria sp.1;Humiria sp.;Humiriaceae;Humiria;NA;NA;NA;NA;NA;zoochoric;NA;
Hybanthus atropurpureus;Pombalia atropurpurea;Violaceae;Pombalia;species;shrub;0.67;2;0.00701;autochoric;3;
Hydrogaster trinervis;Hydrogaster trinervis;Malvaceae;Hydrogaster;species;tree;0.63;30;0.8;zoochoric;2;
Hymenaea courbaril;Hymenaea courbaril;Fabaceae;Hymenaea;species;tree;0.777666667;28;4.289487646;zoochoric;3;
Hymenolobium janeirense;Hymenolobium janeirense;Fabaceae;Hymenolobium;species;tree;0.7031875;25;NA;anemochoric;3;
Hyparrhenia rufa;Hyparrhenia rufa;Poaceae;Hyparrhenia;species;NA;NA;NA;0.0061;autochoric;NA;also epizoochoric
Hyperbaena sp.;Hyperbaena sp.;Menispermaceae;Hyperbaena;NA;NA;NA;NA;NA;zoochoric;NA;
Hyperbaena sp.1;Hyperbaena sp.;Menispermaceae;Hyperbaena;NA;NA;NA;NA;NA;zoochoric;NA;
Ichnanthus sp.;Ichnanthus sp.;Poaceae;Ichnanthus;NA;NA;NA;NA;NA;autochoric|zoochoric;NA;
Ichnanthus sp.1;Ichnanthus sp.;Poaceae;Ichnanthus;NA;NA;NA;NA;NA;autochoric|zoochoric;NA;
Ilex brevicuspis;Ilex brevicuspis;Aquifoliaceae;Ilex;species;tree;0.54;23;0.003125;zoochoric;2;
Ilex dumosa;Ilex dumosa;Aquifoliaceae;Ilex;species;tree;0.463;19;0.003172874;zoochoric;2;
Ilex paraguariensis;Ilex paraguariensis;Aquifoliaceae;Ilex;species;tree;0.523;24;0.007727999;zoochoric;3;
Ilex pseudobuxus;Ilex pseudobuxus;Aquifoliaceae;Ilex;species;tree;0.565555;15;0.013841428;zoochoric;3;
Ilex sp.;Ilex sp.;Aquifoliaceae;Ilex;NA;NA;NA;NA;NA;zoochoric;NA;
Ilex sp.1;Ilex sp.;Aquifoliaceae;Ilex;NA;NA;NA;NA;NA;zoochoric;NA;
Ilex sp.2;Ilex sp.;Aquifoliaceae;Ilex;NA;NA;NA;NA;NA;zoochoric;NA;
Ilex theezans;Ilex theezans;Aquifoliaceae;Ilex;species;tree;0.563;23;0.007756724;zoochoric;1;
Ilex theizans;Ilex theezans;Aquifoliaceae;Ilex;species;tree;0.563;23;0.007756724;zoochoric;1;
Inga capitata;Inga capitata;Fabaceae;Inga;species;tree;0.618933449;23;2.272727273;zoochoric;2;
Inga edulis;Inga edulis;Fabaceae;Inga;species;tree;0.558634295;27;1.154455752;zoochoric;2;
Inga laurina;Inga laurina;Fabaceae;Inga;NA;NA;NA;NA;NA;zoochoric;NA;
Inga luschnathiana;Inga subnuda subsp. luschnathiana;Fabaceae;Inga;subspecies;tree;0.591902933;NA;1.34857521;zoochoric;NA;
Inga semialata;Inga marginata;Fabaceae;Inga;species;tree;0.54875;20;0.718410294;zoochoric;2;
Inga sessilis;Inga sessilis;Fabaceae;Inga;species;tree;0.451479052;24;2.222222222;zoochoric;2;
Inga sp.;Inga sp.;Fabaceae;Inga;NA;NA;NA;NA;NA;zoochoric;NA;
Inga sp.1;Inga sp.;Fabaceae;Inga;NA;NA;NA;NA;NA;zoochoric;NA;
Inga thibaudiana;Inga thibaudiana;Fabaceae;Inga;species;tree;0.657;25;1.34857521;zoochoric;2;
Inga vera;Inga vera;Fabaceae;Inga;species;tree;0.640615385;22;0.970394737;zoochoric;2;
Inga virescens;Inga virescens;Fabaceae;Inga;species;tree;0.799;17;1.34857521;zoochoric;3;
Ipomoea sp.;Ipomoea sp.;Convolvulaceae;Ipomoea;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Ischnosiphon gracilis;Ischnosiphon gracilis;Marantaceae;Ischnosiphon;species;NA;NA;NA;NA;zoochoric;NA;
Ixora gardneriana;Ixora gardneriana;Rubiaceae;Ixora;species;tree;0.88;16;0.03030303;zoochoric;3;
Ixora heterodoxa;Ixora gardneriana;Rubiaceae;Ixora;species;tree;0.88;16;0.03030303;zoochoric;3;
Ixora sp.;Ixora sp.;Rubiaceae;Ixora;NA;NA;NA;NA;NA;zoochoric;NA;
Ixora sp.1;Ixora sp.;Rubiaceae;Ixora;NA;NA;NA;NA;NA;zoochoric;NA;
Ixora venulosa;Ixora venulosa;Rubiaceae;Ixora;species;tree;0.7935;9;0.063772601;zoochoric;3;
Jacaranda macrantha;Jacaranda macrantha;Bignoniaceae;Jacaranda;species;tree;0.573;15;0.484962669;anemochoric;2;
Jacaranda micrantha;Jacaranda micrantha;Bignoniaceae;Jacaranda;species;tree;0.510666667;26;0.006610041;anemochoric;2;
Jacaranda montana;Jacaranda montana;Bignoniaceae;Jacaranda;species;tree;0.449997608;20;0.011634148;anemochoric;2;
Jacaranda puberula;Jacaranda puberula;Bignoniaceae;Jacaranda;species;tree;0.413579425;20;0.004999323;anemochoric;2;
Jacaranda sp.;Jacaranda sp.;Bignoniaceae;Jacaranda;NA;NA;NA;NA;NA;anemochoric;NA;
Jacaranda sp.1;Jacaranda sp.;Bignoniaceae;Jacaranda;NA;NA;NA;NA;NA;anemochoric;NA;
Jacaratia spinosa;Jacaratia spinosa;Caricaceae;Jacaratia;species;tree;0.403125;26;0.026852497;zoochoric;2;
Keraunea capixaba;Keraunea capixaba;Convolvulaceae;Keraunea;species;NA;NA;NA;NA;anemochoric;NA;
Kielmeyera itacarensis;Kielmeyera itacarensis;Calophyllaceae;Kielmeyera;species;tree;0.550615385;15;0.115579942;anemochoric;NA;
Koelreuteria bipinnata;Koelreuteria bipinnata;Bignoniaceae;Koelreuteria;genus;NA;0.700749342;NA;0.067;anemochoric;NA;
Lacistema hasslerianum;Lacistema hasslerianum;Lacistemataceae;Lacistema;species;tree;0.45;11;0.030487805;zoochoric;2;
Lacistema robustum;Lacistema robustum;Lacistemataceae;Lacistema;species;tree;0.533371885;17;0.032843902;zoochoric;2;
Lamanonia ternata;Lamanonia ternata;Cunoniaceae;Lamanonia;species;tree;0.673444444;25;0.001555556;anemochoric;2;
Lantana camara;Lantana camara;Verbenaceae;Lantana;species;shrub;0.532666667;3;0.016;zoochoric;1;
Lantana fucata;Lantana fucata;Verbenaceae;Lantana;species;NA;0.532666667;NA;0.009135073;zoochoric;NA;
Laplacea fruticosa;Laplacea fruticosa;Theaceae;Laplacea;species;tree;0.553;22;0.003333333;anemochoric;2;
Lasiacis ligulata;Lasiacis ligulata;Poaceae;Lasiacis;species;NA;NA;NA;0.005726933;autochoric|zoochoric;NA;
Lauraceae sp.;Lauraceae sp.;Lauraceae;Lauraceae;NA;NA;NA;NA;NA;zoochoric;NA;
Lauraceae sp.1;Lauraceae sp.;Lauraceae;Lauraceae;NA;NA;NA;NA;NA;zoochoric;NA;
Lauraceae sp.2;Lauraceae sp.;Lauraceae;Lauraceae;NA;NA;NA;NA;NA;zoochoric;NA;
Leandra aurea;Leandra aurea;Melastomataceae;Leandra;species;tree;0.82;4;0.0002216;zoochoric;2;
Leandra australis;Leandra australis;Melastomataceae;Leandra;species;shrub;0.82;3;0.0002216;zoochoric;NA;
Leandra carassana;Leandra carassana;Melastomataceae;Leandra;species;tree;0.82;15;0.0002216;zoochoric;1;
Leandra sp.;Leandra sp.;Melastomataceae;Leandra;NA;NA;NA;NA;NA;zoochoric;NA;
Leandra sp.1;Leandra sp.;Melastomataceae;Leandra;NA;NA;NA;NA;NA;zoochoric;NA;
Leandra xanthocoma;Leandra xanthocoma;Melastomataceae;Leandra;species;NA;0.82;NA;0.0002216;zoochoric;NA;
Lecythidaceae sp.;Lecythidaceae sp.;Lecythidaceae;Lecythidaceae;NA;NA;NA;NA;NA;NA;NA;
Lecythidaceae sp.1;Lecythidaceae sp.;Lecythidaceae;Lecythidaceae;NA;NA;NA;NA;NA;NA;NA;
Lecythis sp.;Lecythis sp.;Lecythidaceae;Lecythis;NA;NA;NA;NA;NA;zoochoric;NA;
Lecythis sp.1;Lecythis sp.;Lecythidaceae;Lecythis;NA;NA;NA;NA;NA;zoochoric;NA;
Lepidaploa cotoneaster;Lepidaploa cotoneaster;Asteraceae;Lepidaploa;species;shrub;0.530140648;2;0.00024;anemochoric;NA;
Leucaena leucocephala;Leucaena leucocephala;Fabaceae;Leucaena;species;tree;0.683333333;NA;0.115198501;anemochoric;1;
Leucas martinicensis;Leucas martinicensis;Lamiaceae;Leucas;species;NA;0.56445;NA;0.0004498;anemochoric|autochoric;NA;
Licania hoehnei;Licania hoehnei;Chrysobalanaceae;Licania;species;tree;0.660355532;18;13.679422;zoochoric;3;
Licania hypoleuca;Licania hypoleuca;Chrysobalanaceae;Licania;species;tree;0.907333333;35;13.679422;zoochoric;NA;
Licania sp.;Licania sp.;Chrysobalanaceae;Licania;NA;NA;NA;NA;NA;zoochoric;NA;
Licania sp.1;Licania sp.;Chrysobalanaceae;Licania;NA;NA;NA;NA;NA;zoochoric;NA;
